collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
22969,col,,15.716667,46.5,"Duplek, Maribor, Slovenia",,Reef 2804,6,Badenian,,13.65,12.7,Baron-Szabo,1997,6612,SI,,,based on nearby landmark,minutes,small collection,Kamenscak hill one kilometer north of Zgornji Duplek,gp_mid,17.79,43.19,308,SI,,,,,,,,,,,,,,Coral lens in Lithothamnian limestone,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,good,,,,,life position,,,,,,,taxonomic,"peel or thin section,field collection,survey of museum collection",,,,,,,,
22970,col,,0.216667,43.349998,"Jacque, Aquitaine, France",,Reef 2786,1,Danian,,66,61.6,Deloffre,1980,6614,FR,,,,minutes,small collection,Well NE of Tarbes. Data from between 1195-1200 m depth.,gp_mid,8.46,32.34,305,FR,,,,,,,,,,,,,,Coral algal reefs encountered in wells,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,,,some macrofossils,,,,,Only algal data presented in detail,
22971,col,Anguilla,-63.066666,18.233334,"Branched coral facies, Anguilla",,Reef 642,17,Burdigalian,Serravallian,20.44,11.62,Budd et al.,1995,6615,AI,,,based on nearby landmark,minutes,local area,Biofacies combined from three sections: \r\nSouth Katouche Bay\r\nCrocus Bay\r\nIsaac's Cliff Quarry,gp_mid,-59.35,18.98,234,AI,,Anguilla,,,,,,,,,,,"Most likely late early Miocene, based on Sr isotopes, forams and ostracods",,bafflestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with calcite",good,,,,,,,,,occasional,,,paleoecologic,,,"all microfossils,some macrofossils",,,,,Only corals described,
22972,col,Anguilla,-63.066666,18.233334,"Mound-shaped coral facies, Anguilla",,Reef 642,14,Burdigalian,Serravallian,20.44,11.62,Budd et al.,1995,6615,AI,,,based on nearby landmark,minutes,local area,Biofacies combined from three sections: \r\nSouth Katouche Bay\r\nCrocus Bay\r\nIsaac's Cliff Quarry,gp_mid,-59.35,18.98,234,AI,,Anguilla,,,,,,,,,,,"Most likely late early Miocene, based on Sr isotopes, forams and ostracods",,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with calcite",good,,,,,,,,,occasional,,,paleoecologic,bulk,,"all microfossils,some macrofossils",,,,,Only corals described,
22973,col,Anguilla,-63.066666,18.233334,"Platy coral facies, Anguilla",,Reef 642,14,Burdigalian,Serravallian,20.44,11.62,Budd et al.,1995,6615,AI,,,based on nearby landmark,minutes,local area,Biofacies combined from three sections: \r\nSouth Katouche Bay\r\nCrocus Bay\r\nIsaac's Cliff Quarry,gp_mid,-59.35,18.98,234,AI,,Anguilla,,,,,,,,,,,"Most likely late early Miocene, based on Sr isotopes, forams and ostracods",,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with calcite",good,,,,,,,,,occasional,,,paleoecologic,bulk,,"all microfossils,some macrofossils",,,,,Only corals described,
22974,col,,-157.933334,21.25,"Off Oahu, Pliocene, Hawaii",,Reef 3161,9,Piacenzian,,3.6,2.588,Grigg,1988,6616,US,Hawaii,,based on nearby landmark,minutes,small collection,,gp_mid,,,coordinates not computable using this model,US,,,,,,,,,,,,,Originally assigned to Miocene but Pliocene confirmed by radiometric data,Dredge with corals,reef rocks,,poorly lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,,,,,,,,Only corals described,
22975,col,,-157.833328,21.333332,"Oahu, Pleistocene, Hawaii",,Reef 3255,14,Pleistocene,,2.588,0.0117,Grigg,1988,6616,US,Hawaii,,based on political unit,minutes,outcrop,,gp_mid,,,coordinates not computable using this model,US,,,,,,,,,,,,,,Elevated terrace with reef corals,reef rocks,,poorly lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,,,,,,,,Only corals described,
22976,col,,-177.399994,28.233334,"Midway Atoll, first level, Pacific",,Reef 713,7,Aquitanian,Burdigalian,23.03,15.97,Grigg,1988,6616,UM,,,based on nearby landmark,minutes,outcrop,"Drill hole, interval 300-225 m depth",gp_mid,,,coordinates not computable using this model,UM,,,,,,,,,,,,,Poorly resolved,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,medium,,,,,,,,,,,,taxonomic,bulk,,"all microfossils,some macrofossils",,,,,,
22977,col,,-177.399994,28.233334,"Midway Atoll, second level, Pacific",,Reef 769,7,Late Miocene,,11.608,5.333,Grigg,1988,6616,UM,,,based on nearby landmark,minutes,outcrop,"Drill hole, interval 180-150 m depth",gp_mid,,,coordinates not computable using this model,UM,,,,,,,,,,,,,Poorly resolved,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,medium,,,,,,,,,,,,taxonomic,bulk,,"all microfossils,some macrofossils",,,,,,
22978,col,,-3.752778,36.950001,"Jayena, Spain",,Reef 1472,3,Tortonian,,11.62,7.246,Braga et al.,1990,6617,ES,,,based on nearby landmark,minutes,outcrop,,gp_mid,,,coordinates not computable using this model,ES,,,,,,,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,Only corals described,
22979,col,,-3.766667,37.258331,"Illora, Spain",,Reef 1474,4,Tortonian,,11.62,7.246,Braga et al.,1990,6617,ES,,,based on nearby landmark,seconds,outcrop,,gp_mid,-2.6,35.87,304,ES,,,,,,,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,frequent,,,paleoecologic,,,some macrofossils,,,,,Only corals described,
22994,col,,-121.783333,53.083332,"Eaglenest Mountain, British Columbia, Canada",,Reef 2989,5,Norian,,228,208.5,Stanley and Senowbari-Daryan,1999,6622,CA,British Columbia,,based on nearby landmark,minutes,outcrop,Fossils collected from eastern margin of outcrop ,gp_mid,-51.05,26.44,127,CA,,,Takla,,member,,,,,,,,Age based on conodonts from underlying beds,"Bedded limestone, most likely reworked reefal debris (rudstone).\r\nOverlain by Heterastridium limestones. ",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,Quesnel Terrane,macrofossils,,,,,,,,"body,replaced with calcite",medium,parautochthonous,,,,life position,,,,none,,,taxonomic,peel or thin section,,all microfossils,,,,,,
23071,col,,15.4,46.366669,"Stranice, Coral level 1, Slovenia",,Reef 3128,16,Santonian,Campanian,86.3,72.1,Turnsek,1994,6636,SI,,,based on nearby landmark,minutes,small collection,"Stranice quarry, NW of Stranice. ",gp_mid,25.61,29.7,308,SI,,,,,,,Stranice Quarry,Level 1,bottom to top,,,,No formal formation name. Corals in three leves.,Biostromal coral associations,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,occasional,,,taxonomic,peel or thin section,,,,,,,,
23072,col,,15.4,46.366669,"Stranice, Coral level 2, Slovenia",,Reef 3128,3,Santonian,Campanian,86.3,72.1,Turnsek,1994,6636,SI,,,based on nearby landmark,minutes,small collection,"Stranice quarry, NW of Stranice. ",gp_mid,25.61,29.7,308,SI,,,,,,,Stranice Quarry,Level 2,bottom to top,,,,No formal formation name. Corals in three leves.,Biostromal coral associations,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,occasional,,,taxonomic,peel or thin section,,,,,,,,
23073,col,,15.4,46.366669,"Stranice, Coral level 3, Slovenia",,Reef 3128,4,Santonian,Campanian,86.3,72.1,Turnsek,1994,6636,SI,,,based on nearby landmark,minutes,small collection,"Stranice quarry, NW of Stranice. ",gp_mid,25.61,29.7,308,SI,,,,,,,Stranice Quarry,Level 3,bottom to top,,,,No formal formation name. Corals in three leves.,Biostromal coral associations,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,occasional,,,taxonomic,peel or thin section,,,,,,,,Only corals described
23527,col,Carlile Shale,-105.893059,35.491669,near Lamy,,Reef 2659,1,Middle Turonian,,93.5,89.3,Coates and Kauffman,1973,6727,US,New Mexico,,estimated from map,seconds,small collection,near Lamy,gp_mid,-65.43,42.51,101,US,,Carlile Shale,Colorado,Blue Hill,group of beds,,,,,,,,upper part of member,1.5 m thick coral thicket of ahermatypic coral Archohelia dartoni Wells. Zonation by different sedimentation rates and accompanied variations in debris production.\r\nModerately deep cool water coral accumulation. ,bafflestone,,lithified,"argillaceous,silty",Y,"""shale""",,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,snapshot,,,random,,,,none,,,paleoecologic,mechanical,,some macrofossils,,,,,Study focuses on one ahermatypic coral,
23537,col,Altamira,-4.216667,43.383331,"Cobreces, Cantabria, Spain",,Reef 2260,12,Early Cenomanian,,99.6,93.5,Wilmsen,1996,6729,ES,,,estimated from map,minutes,small collection,,gp_mid,12.5,39.07,304,ES,,Altamira,,,member,,,,,,,,,"Up to 30 m thick reefal interval.\r\nFused patch reefs at shelf edge.\r\nPrimary relief 2-5 m.\r\n12 species of chaetetids and corals.\r\nRudists, chaetetid sponges, Archaeolithothamnium and massive to foliose corals as reef builders.\r\nReef growth terminated by siliclastics.",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,good,,,,,random,,,,frequent,frequent,,taxonomic,"mechanical,peel or thin section,field collection",,some microfossils,,,,,,
23539,col,,0.566667,48.366669,"Belleme, Normandy, France",,Reef 454,6,Late Oxfordian,Early Kimmeridgian,161.2,150.8,Beauvais et al.,1974,6730,FR,Normandy,,based on nearby landmark,minutes,outcrop,,gp_mid,16.92,30.72,305,FR,,,,,,,,,,,,,,Mud bank rather than reef. Thamnasteria dendroidea is strongly dominant reef builder.,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,medium,autochthonous,,,,life position,,,occasional,,,,taxonomic,,,some microfossils,,,,,,
23570,col,Recoaro - Upper Serla,11.966667,46.75,"Olang, northern Dolomites, Italy",,Reef 36,5,Pelsonian,,247.2,242,Senowbari-Daryan et al.,1993,6738,IT,,,based on nearby landmark,minutes,local area,,gp_mid,36.01,15.18,307,IT,,Recoaro - Upper Serla,,,group of beds,,,,,,,,"Stratigraphic resolution very fine, but lumped from several horizons in the collection.","Reef mounds on lower to middle ramp position. Data from several facies: oncoid-peloid wacke-floatstone, bioclastic wackestone, lump packstone, bioclastic grainstone, algal bindstone, breccia, grapestone, silty wackestone.",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils,microfossils",,,,,,,,,medium,parautochthonous,,,,,,,,,frequent,,biostratigraphic,"selective quarrying,peel or thin section,field collection",,,,,,,Data only occasionally separated fro different outcrops and formations. Thus compiled for whole region and two reefal formations,
23887,col,,9.85,48.383331,Arnegg Reef,,Reef 1726,29,Early Tithonian,,150.8,145,Paulsen,1964,6779,DE,Baden-Wurttemberg,,based on nearby landmark,minutes,outcrop,,gp_mid,23,31.41,305,DE,,,,,member,,,,,,,,,"Sponge facies overlain by mixed facies overlain by coral reef facies. 80% massive corals, 15% phaceloid and solitary forms, 5% dendroid and foliose forms",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,autochthonous,,,,random,,,,frequent,frequent,,taxonomic,"selective quarrying,mechanical,field collection,survey of museum collection",,,,,,,Moderately diverse coral fauna but rich invertebrate fauna,"Modified from Geyer (1954), partially revised by Bertling (1993)"
23902,col,,9.55,48.5,"Heuberg, Donnstetten",,Reef 3183,20,Early Tithonian,,150.8,145,Geyer,1954,6778,DE,Baden-Wurttemberg,,based on nearby landmark,minutes,outcrop,,gp_mid,22.74,31.48,305,DE,,,,Ulmensis beds,group of beds,,,,,,,,,"Reefal debris, presumably derived from eroded reef",rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,parautochthonous,,,,,,,,,,,taxonomic,mechanical,,,,,,,,"Complete lists with sometimes outdated names, partial revisions of Bertling (1993, corals) considered"
23903,col,,9.833333,48.466667,"Blumenthau, Bermaringen",,Reef 1726,21,Early Tithonian,,150.8,145,Geyer,1954,6778,DE,Baden-Württemberg,,based on nearby landmark,minutes,outcrop,1200 m NNE of Bermaringen,gp_mid,22.97,31.49,305,DE,,,,,formation,,,,,,,,,,rudstone,ooidal,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,parautochthonous,,,,,,,,,,Reworked reef fauna,taxonomic,mechanical,,,,,,,,"Whole fauna, partial revision of corals by Bertling (1993) considered"
23904,col,Massenkalk,10.216667,48.683334,Nattheim,,Reef 3184,99,Early Tithonian,,150.8,145,Geyer,1954,6778,DE,Baden-Württemberg,,based on nearby landmark,minutes,outcrop,,gp_mid,23.21,31.75,305,DE,,Massenkalk,,,group of beds,,,,,,,,"Schmid, Leinfelder & Günter Schweigert (2005: Zitteliana B26 31-41) note that this is the Massenkalk formation. \r\n",,rudstone,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with silica",,parautochthonous,,,,,,,,,,Reworked reef fauna,taxonomic,,,"all microfossils,some macrofossils",,,,,,"List contains corals only, partial revisions of Lauxmann (1991) and Bertling (1993) considered"
23909,col,Unterer Korallenoolith,9.983333,52.150002,"Dehlborn, Hildesheim, Germany",,Reef 548,7,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,R 3543370\r\nH 5779750,gp_mid,23.91,35.72,315,DE,,Unterer Korallenoolith,,Obere Korallenbank,group of beds,,,,,,,,,Reworked corals,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,parautochthonous,,,,,,poor,frequent,frequent,,"very shallow, turbulent water, open marine",taxonomic,,,some macrofossils,,,,,"Oyster reported to be common, no bryozoans and Thecids",Only corals described
23910,col,Unterer Korallenoolith,9.983333,52.150002,"Hainholz, Hildesheim, Germany",,Reef 548,38,Late Oxfordian,,161.2,155.7,Helm et al.,2003,8494,DE,Lower Saxony,,based on nearby landmark,minutes,outcrop,1 km SW of Wülfinghausen monastery\r\nOutcrop scale collection from Helm et al. (2003). Bertling (1993) had small collection only.,gp_mid,23.91,35.72,315,DE,,Unterer Korallenoolith,,Obere Korallenbank,group of beds,,,,,,,,,Reworked corals with rare in-situ coral patch reefs,rudstone,,lithified,,Y,framestone,,lithified,,Y,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,parautochthonous,,,,,,poor,frequent,frequent,,"very shallow, turbulent water, open marine",paleoecologic,,,some macrofossils,,,,,"Oyster reported to be common, no bryozoans and Thecids",Only corals described
23911,col,Unterer Korallenoolith,9.983333,52.150002,"Luchsholklippen, Hildesheim, Germany",,Reef 548,4,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.91,35.72,315,DE,,Unterer Korallenoolith,,Obere Korallenbank,group of beds,,,,,,,,,Reworked corals,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,parautochthonous,,,,,,poor,frequent,frequent,,"very shallow, turbulent water, open marine",taxonomic,,,some macrofossils,,,,,"Oyster reported to be common, no bryozoans and Thecids",Only corals described
23912,col,Unterer Korallenoolith,9.983333,52.150002,"Weisser Stein, Hildesheim, Germany",,Reef 548,4,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.91,35.72,315,DE,,Unterer Korallenoolith,,Obere Korallenbank,group of beds,,,,,,,,,Reworked corals,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,parautochthonous,,,,,,poor,frequent,frequent,,"very shallow, turbulent water, open marine",taxonomic,,,some macrofossils,,,,,"Oyster reported to be common, no bryozoans and Thecids",Only corals described
23913,col,Unterer Korallenoolith,10.1,52.116669,"Heersumer Bruch, Langenberg, Germany",,Reef 548,6,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,24.01,35.7,315,DE,,Unterer Korallenoolith,,Untere Folge,group of beds,,,,,,,,,Coral debris,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,survey of museum collection,,some macrofossils,,,,,"No bryozoans, oysters common",Only corals included 
23916,col,Unterer Korallenoolith,9.7,52.366669,"Lindener Berg, Hannover, Germany",,Reef 3185,12,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.65,35.89,315,DE,,Unterer Korallenoolith,,Untere Folge,group of beds,,,,,,,,,Coral debris,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,replaced with calcite,medium,parautochthonous,,,,,,very poor,occasional,occasional,occasional,,taxonomic,"mechanical,peel or thin section,survey of museum collection",,some macrofossils,,,,,"Bryozoans, thecids, serpulids, and oysters associated",Only corals included 
23917,col,Unterer Korallenoolith,9.516667,52.25,"Taternpfahl, Hannover, Germany",,Reef 3185,9,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.54,35.76,315,DE,,Unterer Korallenoolith,,Untere Folge,group of beds,,,,,,,,,Coral debris,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,replaced with calcite,medium,parautochthonous,,,,,,very poor,occasional,occasional,occasional,,taxonomic,"selective quarrying,mechanical,peel or thin section,field collection,survey of museum collection",,some macrofossils,,,,,"Bryozoans, thecids, serpulids, and oysters associated",Only corals included 
23918,col,Unterer Korallenoolith,9.5,52.25,"Bielstein, Hannover, Germany",,Reef 3185,7,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.53,35.75,315,DE,,Unterer Korallenoolith,,Untere Folge,group of beds,,,,,,,,,Coral debris,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,replaced with calcite,medium,parautochthonous,,,,,,very poor,occasional,occasional,occasional,,taxonomic,"mechanical,peel or thin section,field collection,survey of museum collection",,some macrofossils,,,,,"Bryozoans, thecids, serpulids, and oysters associated",Only corals included 
23919,col,Unterer Korallenoolith,9.7,52.25,"Voelksen, Hannover",,Reef 3185,12,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Niedersachsen,,based on nearby landmark,minutes,small collection,,gp_mid,23.68,35.78,315,DE,,Unterer Korallenoolith,,Untere Folge,group of beds,,,,,,,,,Coral debris,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,replaced with calcite,medium,parautochthonous,,,,,,very poor,occasional,occasional,occasional,,taxonomic,"mechanical,peel or thin section,survey of museum collection",,some macrofossils,,,,,"Bryozoans, thecids, serpulids, and oysters associated",Only corals included 
23921,col,Unterer Korallenoolith,9.7,52.383331,"Moenkeberg, Hannover, Germany",,Reef 3185,10,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,minutes,small collection,,gp_mid,23.64,35.91,315,DE,,Unterer Korallenoolith,,,group of beds,,,,,,,,,Reworked corals. ,rudstone,,lithified,,,,,,,,"reef, buildup or bioherm",,Nutrient-rich water inferred,macrofossils,,,,,,,,"body,replaced with calcite",,,,,,,,,,extreme,,Intense bioerosion,taxonomic,"selective quarrying,mechanical,peel or thin section,field collection,survey of museum collection",,,,,,,"No bryozoans, no thecids, one serpulid species",Only corals included
23923,col,Unterer Korallenoolith,9.133333,52.208332,"Arensberg, Rinteln, Germany",,Reef 547,4,Late Oxfordian,,161.2,155.7,Bertling,1993,6781,DE,Lower Saxony,,based on nearby landmark,seconds,small collection,,gp_mid,23.27,35.67,315,DE,,Unterer Korallenoolith,,,group of beds,Florigemma,,,,,,,,Reworked corals in pelitic matrix,floatstone,,lithified,,,,,,,,"reef, buildup or bioherm",,Probably more than 20 m deep,macrofossils,,,,,,,,"body,replaced with calcite",,,,,,,,,,occasional,,Little bioerosion,taxonomic,"selective quarrying,field collection,survey of museum collection",,some macrofossils,,,,,Some bryozoans and serpulids associated,Only corals included
